Kanji,Reading,Meaning,Japanese Example,English Example
ああ,ああ,"Ah!, Oh!",ああ、そうでしたか。,"Ah, is that so?"
会う,あう,"to meet, to see",明日友達に会います。,I will meet my friend tomorrow.
青,あお,blue,空が青いですね。,The sky is blue.
青い,あおい,blue,彼女は青いドレスを着ています。,She is wearing a blue dress.
赤,あか,red,りんごは赤いです。,Apples are red.
赤い,あかい,red,彼の車は赤いです。,His car is red.
明るい,あかるい,bright (in reference to personality or weather); cheerful,彼女は明るい性格です。,She has a bright personality.
秋,あき,fall (season),秋には紅葉が綺麗です。,Autumn leaves are beautiful in the fall.
開く,あく,"to open, to become open",ドアを開いてください。,Please open the door.
開ける,あける,to open (v.t.),窓を開けてください。,Please open the window.
上げる,あげる,"to raise, to lift",手を上げてください。,Please raise your hand.
朝,あさ,morning,朝ごはんを食べましたか。,Did you eat breakfast?
朝御飯,あさごはん,breakfast,今朝の朝御飯はトーストでした。,This morning's breakfast was toast.
明後日,あさって,day after tomorrow,明後日は会議があります。,There is a meeting the day after tomorrow.
足; 脚,あし,foot; leg,足を怪我してしまいました。,I injured my leg.
明日,あした,tomorrow,明日は晴れる予報です。,Tomorrow's weather forecast is sunny.
あそこ,あそこ,"there, over there, that place",あそこに猫がいます。,There is a cat over there.
遊ぶ,あそぶ,to play; to spend time pleasantly; to hang out,友達と公園で遊びました。,I played in the park with my friends.
暖かい,あたたかい,warm,今日は暖かい日です。,Today is a warm day.
頭,あたま,head,頭痛がします。,I have a headache.
新しい,あたらしい,new,新しい靴を買いました。,I bought new shoes.
あちら,あちら,this way (polite),あちらにお座りください。,Please have a seat over there.
暑い,あつい,"hot (in reference to weather), warm",今日は暑いですね。,"It's hot today, isn't it?"
熱い,あつい,hot (objects),お茶が熱いです。,The tea is hot.
厚い,あつい,"kind, warm(hearted), thick, deep",心のあたたかさを大切にしましょう。,Let's cherish the warmth of our hearts.
あっち,あっち,over there,あっちに行こう。,Let's go over there.
後,あと,afterwards (later); in the future; the rest; since then,昼ご飯の後、散歩しましょう。,Let's take a walk after lunch.
あなた,あなた,you,あなたの名前は何ですか。,What is your name?
兄,あに,(my) older brother (humble),私の兄は医者です。,My older brother is a doctor.
姉,あね,(my) older sister (humble),姉はとても親切です。,My older sister is very kind.
アパート,アパート,apartment (abbr.),アパートで一人暮らしをしています。,I live alone in an apartment.
あの,あの,"that over there; like that, that way; um...",あの店にはよく行きます。,I often go to that store.
浴びる,あびる,"to bathe, to shower",シャワーを浴びてから寝ます。,I take a shower before going to bed.
危ない,あぶない,"dangerous, critical",その道は危ないですよ。,That road is dangerous.
甘い,あまい,"generous, sweet",彼女は笑顔がとても甘い。,She has a very sweet smile.
余り,あまり,not very; surplus,お金が余りありません。,I don't have much money left.
雨,あめ,rain,雨が降っています。,It's raining.
飴,あめ,(hard) candy,お祭りで飴を買いました。,I bought candy at the festival.
洗う,あらう,to wash,服を洗って干しました。,I washed and hung up the clothes.
在る,ある,"to be, to have",そこに本が在ります。,There is a book there.
有る,ある,"to be, to have",町には美しい庭が有る。,The town has a beautiful garden.
歩く,あるく,to walk,毎日、公園で歩く。,I walk in the park every day.
あれ,あれ,that one (over there),あれは誰のかばんですか？,Whose bag is that over there?
いい; よい,いい; よい,good,そのレストランの評判がとてもいい。,The reputation of that restaurant is very good.
いいえ,いいえ,"no, not at all",Tシャツはありますか？ いいえ、ありません。,"Do you have T-shirts? No, we don't."
言う,いう,to say,何も言わずに出ました。,I left without saying anything.
家,いえ,"house, home",私の家は町の中心にあります。,My house is located in the center of town.
いかが,いかが,"how, in what way",いかがお過ごしですか？,How are you?
行く,いく; ゆく,to go,明日、友達と映画を見に行きます。,I'm going to see a movie with my friends tomorrow.
いくつ,いくつ,"how many, how old",あなたは何歳ですか？ いくつですか？,How old are you? How many?
いくら,いくら,"how much, how many",この本はいくらですか？,How much is this book?
池,いけ,pond,公園に小さな池があります。,There is a small pond in the park.
医者,いしゃ,doctor; physician,父は医者です。,My father is a doctor.
椅子,いす,chair,この部屋に椅子が二つあります。,There are two chairs in this room.
忙しい,いそがしい,"busy (people, days)",最近、とても忙しいです。,I have been very busy lately.
痛い,いたい,hurt; painful; sore,頭が痛いです。,I have a headache.
一,いち,one,一つの質問があります。,I have one question.
一日,いちにち,one day (duration),一日を楽しく過ごしました。,I had a fun day.
一番,いちばん,"best (most), first, number one",この映画は彼の一番の作品です。,This movie is his best work.
いつ,いつ,when,いつ会いましょうか？,When should we meet?
五日,いつか,five days; fifth day of the month,来月の五日にパーティーをします。,We will have a party on the fifth of next month.
一緒,いっしょ,together,友達と一緒に映画を見ました。,I watched a movie with my friends.
五つ,いつつ,five things,花瓶の中に五つの花があります。,There are five flowers in the vase.
いつも,いつも,"always, usually, every time, never (with neg. verb)",いつもありがとう。,Thank you always.
犬,いぬ,dog,犬と一緒に公園に行きます。,I will go to the park with the dog.
今,いま,now,今は何時ですか？,What time is it now?
意味,いみ,"meaning, significance",この単語の意味を教えてください。,Please tell me the meaning of this word.
妹,いもうと,younger sister (humble),私の妹は学生です。,My younger sister is a student.
嫌,いや,"disagreeable, detestable, unpleasant",その映画は嫌いでした。,I disliked that movie.
入口,いりぐち,entrance,入口はこちらです。,The entrance is this way.
居る,いる,"(humble) to be (animate), to exist",彼はまだここに居る。,He is still here.
要る,いる,to need,これが要りますか？,Do you need this?
入れる,いれる,to put in,砂糖をコーヒーに入れます。,I put sugar in my coffee.
色,いろ,color,青い色が好きです。,I like the color blue.
色々,いろいろ,various,旅行に行って、色々な場所を訪れました。,I visited various places during my trip.
上,うえ,"above (up, top, etc.), over, on top of",机の上に鉛筆があります。,There is a pencil on the desk.
後ろ,うしろ,"back, behind, rear",先生の後ろに座ります。,I will sit behind the teacher.
薄い,うすい,"thin, weak",その服は薄い生地でできています。,That clothing is made of thin fabric.
歌,うた,a song,彼女は美しい歌を歌います。,She sings beautiful songs.
歌う,うたう,to sing,彼はコンサートで歌を歌いました。,He sang a song at the concert.
うち,うち,home; house; my place,家族と一緒にうちで夕食を食べる。,I have dinner with my family at home.
生まれる,うまれる,to be born,私は東京で生まれました。,I was born in Tokyo.
海,うみ,"sea, beach",夏になると海に行きたいです。,I want to go to the beach in summer.
売る,うる,to sell (v.t.),彼は古本をネットで売ります。,He sells used books online.
うるさい,うるさい,noisy; annoying,隣の部屋からうるさい音が聞こえてくる。,I can hear loud noises from the next room.
上着,うわぎ,"coat, jacket",寒い日には上着を着る必要があります。,You need to wear a coat on cold days.
絵,え,a painting; a picture; a drawing,彼女は絵を描くのが上手です。,She is good at drawing pictures.
映画,えいが,"movie, film",週末に映画を見に行きませんか。,Would you like to go see a movie this weekend?
映画館,えいがかん,"movie theater, cinema",その映画館は最新作を上映しています。,The movie theater is showing the latest film.
英語,えいご,English (language),彼は英語が話せます。,He can speak English.
ええ,ええ,yes,はい、それはええアイデアです。,"Yes, that's a good idea."
駅,えき,station,駅で友達と待ち合わせをしました。,I met up with my friend at the station.
エレベーター,エレベーター,elevator,このビルには高速エレベーターが備え付けられています。,This building has high-speed elevators installed.
～円,～えん,Yen,この本は五千円です。,This book costs five thousand yen.
鉛筆,えんぴつ,pencil,デスクの引き出しに鉛筆があります。,There are pencils in the desk drawer.
お～,お～,honorable ~ (honorific),お茶、いかがですか。,Would you like some tea?
美味しい,おいしい,"delicious, tasty",この料理はとても美味しいです。,This dish is very delicious.
多い,おおい,many; there are a lot,東京は人口が多い都市です。,Tokyo is a city with a large population.
大きい,おおきい,"big, large",その建物はとても大きいです。,That building is very large.
大きな,おおきな,big,大きな木が庭に立っています。,There is a big tree standing in the garden.
大勢,おおぜい,great number of people,大勢の人がスタジアムに集まっています。,A large number of people are gathering at the stadium.
お母さん,おかあさん,mother (formal),お母さんは毎日家事をしています。,My mother does housework every day.
お菓子,おかし,"confections, sweets, snack",子供たちがお菓子をたくさん食べました。,The children ate a lot of sweets.
お金,おかね,money,買い物をするためにお金が必要です。,Money is necessary to go shopping.
起きる,おきる,"to get up (e.g., from sleeping); to happen",毎朝、早く起きることが大事です。,It's important to wake up early every morning.
置く,おく,to put; to lay; to place,カバンを机の上に置いてください。,Please put the bag on the desk.
奥さん,おくさん,(someone else's) wife (hon.),奥さんには家庭を守る大切な役割があります。,Wives have an important role in protecting the household.
お酒,おさけ,sake; alcohol,食事と一緒にお酒を飲みます。,I drink alcohol with my meals.
お皿,おさら,"plate, dish",お皿を洗うのは苦手です。,I'm not good at washing dishes.
伯父; 叔父さん,おじさん,"uncle, middle-aged man",伯父は冗談を言うのが得意です。,My uncle is good at making jokes.
おじいさん,おじいさん,"grandfather, male senior citizen",おじいさんは毎朝散歩に出かけます。,Grandpa goes for a walk every morning.
教える,おしえる,"to teach, to inform, to instruct",先生は生徒に新しいことを教えました。,The teacher taught the students something new.
押す,おす,"to push, to press, to stamp (e.g., a passport)",ドアを押してください。,Please push the door.
遅い,おそい,slow; (to be) late,友達が遅いので待っています。,I'm waiting because my friend is late.
お茶,おちゃ,(green) tea,毎日お茶を飲む習慣があります。,I have a habit of drinking tea every day.
お手洗い,おてあらい,"toilet, restroom, bathroom (lit., a place to wash one's hands)",お手洗いは入り口の横にあります。,The restroom is located next to the entrance.
お父さん,おとうさん,father (formal),お父さんは仕事から帰ってきました。,Dad has come back from work.
弟,おとうと,younger brother,弟と一緒に遊ぶのが楽しいです。,It's fun to play with my younger brother.
男,おとこ,"man, male",男性も料理が得意な人が増えています。,There are more men who are good at cooking.
男の子,おとこのこ,boy,公園で男の子たちがサッカーをしています。,The boys are playing soccer in the park.
一昨日,おととい,the day before yesterday,一昨日は友達と遊んだ。,I played with my friend the day before yesterday.
おととし,おととし,year before last,おととしの夏はとても暑かった。,The summer of the year before last was very hot.
大人,おとな,adult,大人になると責任が増える。,"When you become an adult, responsibilities increase."
お腹,おなか,stomach,お腹が空いたので何か食べたい。,I'm hungry so I want to eat something.
同じ,おなじ,"same, identical",この二つは同じ色です。,These two are the same color.
お兄さん,おにいさん,(someone else's) older brother (formal),彼女にはお兄さんが一人います。,She has one older brother.
お姉さん,おねえさん,older sister (formal),お姉さんは医者です。,The older sister is a doctor.
伯母さん; 叔母さん,おばさん,aunt,伯母さんに会いに行きます。,I'm going to visit my aunt.
おばあさん,おばあさん,"grandmother, female senior-citizen",おばあさんはとても親切です。,Grandma is very kind.
お風呂,おふろ,a bath,お風呂に入ってリラックスする。,I relax by taking a bath.
お弁当,おべんとう,a boxed lunch,母がお弁当を作ってくれた。,Mom made me a boxed lunch.
覚える,おぼえる,"to learn, to commit to memory, to remember, to memorize",新しい言葉を覚えるのは難しい。,It's difficult to memorize new words.
おまわりさん,おまわりさん,policeman (friendly term),おまわりさんに助けを求める。,Ask the police officer for help.
重い,おもい,heavy; serious,その荷物はとても重いです。,That luggage is very heavy.
面白い,おもしろい,"interesting, amusing",その映画はとても面白かった。,That movie was very interesting.
泳ぐ,およぐ,to swim,プールで泳ぐのが好きです。,I like to swim in the pool.
降りる,おりる,to get off,次の駅で電車から降ります。,I will get off the train at the next station.
終る,おわる,"to finish, to close",授業が終ったらすぐ帰ります。,I will go home right after the class ends.
音楽,おんがく,Music,音楽を聴くのが好きです。,I like listening to music.
女,おんな,"woman, female",女性は社会で大切な存在だ。,Women are important in society.
女の子,おんなのこ,girl,公園で可愛い女の子に会った。,I met a cute girl at the park.
～回,～かい,counter for occurrences (~ times),今日、図書館に二回行きました。,I went to the library twice today.
～階,～かい,counter for stories (floors) of a building,建物の十階に住んでいます。,I live on the tenth floor of the building.
外国,がいこく,foreign country; abroad,外国に旅行するのが楽しみだ。,I'm looking forward to traveling abroad.
外国人,がいこくじん,foreigner,外国人と交流する経験が大切だ。,Interacting with foreigners is important.
会社,かいしゃ,"company, corporation",会社で新しいプロジェクトを始める。,I will start a new project at the company.
階段,かいだん,stairs,階段を上って２階に行きます。,I will go up the stairs to the second floor.
買い物,かいもの,shopping,週末に買い物に行く予定です。,I plan to go shopping on the weekend.
買う,かう,to buy,明日、新しい本を買います。,I will buy a new book tomorrow.
返す,かえす,to return something,借りた本を図書館に返す。,Return the borrowed book to the library.
帰る,かえる,"to go back, to go home, to return",夕方になったので家に帰ります。,"It's evening, so I will go home."
顔,かお,face (body part),彼女の顔はとても可愛い。,Her face is very cute.
かかる,かかる,"it takes (amount of time, money) (v.i.)",新しいビジネスが始まるまで時間がかかる。,It takes time for the new business to start.
鍵,かぎ,a lock; a key,鍵をなくしてしまいました。,I lost the key.
書く,かく,to write,手紙を書くのが好きです。,I like writing letters.
学生,がくせい,student,彼女は専門学校の学生です。,She is a student at a vocational school.
～か月,～かげつ,(number of) months,彼と付き合って三か月になります。,It has been three months since I started dating him.
掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",壁に絵を掛ける。,Hang a picture on the wall.
かける,かける,"to dial/call (e.g., phone); to sit down",電話で彼にかける。,Call him on the phone.
傘,かさ,"umbrella, parasol",雨が降っているので傘を持っていく。,"It's raining, so I'll bring an umbrella."
貸す,かす,to lend,友達にお金を貸す。,Lend money to a friend.
風,かぜ,"wind, breeze",風が心地よい。,The wind feels pleasant.
風邪,かぜ,"cold, flu",風邪を引いて寝ている。,I caught a cold and am resting.
方,かた,-- honorific form for 人 (ひと) --; way of doing,この方が早いです。,This way is faster.
家族,かぞく,"family, members of a family",我が家族はとても仲が良い。,My family gets along very well.
片仮名,かたかな,katakana,日本語で片仮名を練習しています。,I am practicing katakana in Japanese.
～月,～がつ,month of year,5月は誕生日の月です。,May is my birthday month.
学校,がっこう,a school,明日、学校に行きます。,I will go to school tomorrow.
カップ,カップ,cup,カップにお茶を注ぐ。,Pour tea into a cup.
家庭,かてい,home; family,家庭生活を楽しむ。,Enjoy family life.
角,かど,"corner (e.g., desk, pavement)",机の角に本を置いた。,Put a book on the corner of the desk.
かばん,かばん,"bag, basket",かばんに必要なものを入れる。,Put necessary things in the bag.
花瓶,かびん,(flower) vase,花瓶に花を生ける。,Arrange flowers in a vase.
かぶる,かぶる,"to wear, to put on (e.g., a hat on the head)",帽子を頭にかぶる。,Wear a hat on the head.
紙,かみ,paper,紙にメモを取る。,Take notes on paper.
カメラ,カメラ,camera,カメラで写真を撮る。,Take photos with a camera.
火曜日,かようび,Tuesday,火曜日は日本語のクラスがあります。,There is a Japanese class on Tuesday.
辛い,からい,hot and spicy; salty,辛い料理が好きです。,I like spicy food.
体,からだ,body; health,体が元気です。,The body is healthy.
借りる,かりる,"to borrow, to owe",図書館から本を借りる。,Borrow a book from the library.
～がる,～がる,feel,彼は疲れがる。,He seems tired.
軽い,かるい,"light, non-serious, minor",軽い食事が好き。,I like light meals.
カレー,カレー,curry (abbr. for curry and rice),今晩はカレーを作る。,I will make curry tonight.
カレンダー,カレンダー,calendar,新しいカレンダーを買った。,I bought a new calendar.
川; 河,かわ,river,川で釣りをする。,Go fishing in the river.
～側,～がわ,~ side,左側に曲がってください。,Please turn to the left side.
可愛い,かわいい,"cute, adorable",赤ちゃんが可愛い。,The baby is cute.
漢字,かんじ,kanji; Chinese character,漢字を勉強する。,Study kanji characters.
木,き,"tree, wood, timber",森にはたくさんの木がある。,There are many trees in the forest.
黄色,きいろ,yellow,彼女のドレスは黄色だ。,Her dress is yellow.
黄色い,きいろい,yellow,黄色い花が咲いている。,Yellow flowers are blooming.
消える,きえる,"to vanish, to disappear",霧が消えて青空が広がる。,The fog clears and the blue sky expands.
聞く,きく,"to hear, to listen, to ask",先生の話を聞いてください。,Please listen to the teacher's story.
北,きた,north,山の北に友達が住んでいる。,My friend lives to the north of the mountain.
ギター,ギター,guitar,ギターを弾くのが好き。,I like playing the guitar.
汚い,きたない,"dirty, unclean, filthy",道が汚いので掃除する。,Clean the dirty road.
喫茶店,きっさてん,café,人気のある喫茶店に行く。,Go to a popular café.
切手,きって,postal (postage) stamps,切手を貼って手紙を出す。,Put a stamp on the letter and send it.
切符,きっぷ,a ticket,電車の切符を買う。,Buy a train ticket.
昨日,きのう,yesterday,昨日は公園に行った。,I went to the park yesterday.
九,きゅう,nine,9月になると、秋がやってきます。,"When September comes, autumn arrives."
牛肉,ぎゅうにく,beef,日曜日の夜は、牛肉を食べたい。,I want to eat beef on Sunday night.
牛乳,ぎゅうにゅう,milk,毎朝、牛乳を飲んでから仕事に行きます。,I drink milk every morning before going to work.
今日,きょう,"today, this day",今日の天気は晴れです。,The weather today is sunny.
教室,きょうしつ,classroom,教室で日本語を勉強しています。,I am studying Japanese in the classroom.
兄弟,きょうだい,"siblings (humble), brothers and sisters",兄弟で一緒に遊ぶのが楽しい。,Playing together with siblings is fun.
去年,きょねん,last year,去年は日本へ旅行しました。,I traveled to Japan last year.
嫌い,きらい,dislike,彼はスポーツが嫌いです。,He dislikes sports.
切る,きる,to cut; to hang up (a phone),野菜を切るのが上手ですね。,You are good at cutting vegetables.
着る,きる,to put on (clothes above your waist); to wear,明日、かわいい服を着る予定です。,I plan to wear cute clothes tomorrow.
綺麗,きれい,"pretty, clean, tidy",公園には綺麗な花がたくさん咲いていました。,There were many beautiful flowers blooming in the park.
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram),体重をキログラムで計る。,Measure your weight in kilograms.
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer),マラソンレースは42キロメートルです。,The marathon race is 42 kilometers.
銀行,ぎんこう,bank,銀行でお金を引き出した。,I withdrew money from the bank.
金曜日,きんようび,Friday,金曜日に友達と映画に行く予定です。,I plan to go to the movies with friends on Friday.
九,く,nine,9月になると、秋がやってきます。,"When September comes, autumn arrives."
薬,くすり,medicine,風邪をひいたら薬を飲むべきです。,You should take medicine if you catch a cold.
下さい,ください,(with te-form verb) please do for me,ご協力をお願いします。,Please cooperate.
果物,くだもの,fruit,夏は新鮮な果物が美味しい。,Fresh fruits are delicious in summer.
口,くち,job opening; mouth,仕事を探している口いいですね。,You have a good job opening for job searching.
靴,くつ,"shoes, footwear",運動靴を買いに行きたいです。,I want to go buy sports shoes.
靴下,くつした,socks,靴下を新しく買いました。,I bought new socks.
国,くに,country; place of origin,日本は美しい国です。,Japan is a beautiful country.
曇り,くもり,"cloudiness, cloudy weather",曇りの日はお家で読書を楽しみます。,I enjoy reading at home on cloudy days.
曇る,くもる,"to become cloudy, to become dim",空が曇ってきた。,The sky has become cloudy.
暗い,くらい,"dark, gloomy",夜道が暗くて怖い。,The dark night road is scary.
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity),3時くらいにお店に着きます。,I will arrive at the store around 3 o'clock.
クラス,クラス,a class,新しいクラスメートと仲良くなりたい。,I want to get along with my new classmates.
グラム,グラム,gram,料理には計量カップとグラム計が必要です。,Cooking requires measuring cups and grams.
来る,くる,to come,友達が今夜遊びに来る。,My friend is coming over to hang out tonight.
車,くるま,"car, vehicle",新しい車を買う計画があります。,I have a plan to buy a new car.
黒,くろ,black,彼の黒い服はかっこいい。,His black clothes are cool.
黒い,くろい,black; dark,黒い猫が庭で遊んでいます。,A black cat is playing in the garden.
警官,けいかん,police officer,警官は交通整理に忙しい。,The police officer is busy directing traffic.
今朝,けさ,this morning,今朝はコーヒーが美味しい。,The coffee is delicious this morning.
